"Bird","day","Square","Dur.hrs"
334,1,12869,0.107777777777778
334,1,13054,0.107777777777778
334,1,13239,0.1075
334,1,13424,0.107777777777778
334,1,13609,4.73722222222222
334,1,13794,0.238888888888889
334,1,13979,0.165833333333333
334,1,14164,0.0730555555555556
334,1,14533,0.102777777777778
334,1,14718,0.0108333333333333
334,1,14902,8.85472222222222
334,1,15085,0.0169444444444444
334,1,15086,0.4
334,1,15270,0.288888888888889
334,1,15454,0.135833333333333
334,1,15455,0.00305555555555556
334,1,15638,0.0455555555555556
334,1,15639,0.0302777777777778
334,1,15822,0.00777777777777778
334,1,15823,0.0683333333333333
334,1,16007,0.0761111111111111
334,1,16191,0.0461111111111111
334,1,16192,0.03
334,1,16375,0.00777777777777778
334,1,16376,0.0680555555555555
334,1,16560,0.0763888888888889
334,1,16744,0.0666666666666667
334,1,16745,0.0147222222222222
334,1,16928,0.0666666666666667
334,1,16929,0
334,1,18398,0.0438888888888889
334,1,18399,0.0352777777777778
334,1,18582,0.0530555555555556
334,1,18583,0.0261111111111111
334,1,18767,0.0169444444444444
334,2,12500,0.0777777777777778
334,2,12685,0.0780555555555556
334,2,12870,0.0780555555555556
334,2,13054,0.0641666666666667
334,2,13055,0.0183333333333333
334,2,13239,1.03916666666667
334,2,13240,0.454166666666667
334,2,13424,0.847777777777778
334,2,13425,1.195
334,2,13609,8.30277777777778
334,2,13610,0.472222222222222
334,2,13794,0.438333333333333
334,2,13795,1.77833333333333
334,2,13979,0.244722222222222
334,3,13054,0.128333333333333
334,3,13239,6.36333333333333
334,3,13240,0.643333333333333
334,3,13424,0.978055555555556
334,3,13425,0.603888888888889
334,3,13609,4.53972222222222
334,3,13794,0
334,4,12869,0.179166666666667
334,4,13054,0.178888888888889
334,4,13239,5.41
334,4,13240,0.693055555555556
334,4,13424,0.945
334,4,13425,1.17888888888889
334,4,13609,10.3686111111111
334,4,13794,0.0966666666666667
334,4,13979,0.0952777777777778
334,4,14164,0.0952777777777778
334,4,14349,0.00444444444444444
334,4,14533,0.368888888888889
334,5,12869,0.0605555555555556
334,5,12871,0.114166666666667
334,5,12872,0.550277777777778
334,5,13054,0.0961111111111111
334,5,13055,0.0175
334,5,13056,0.131111111111111
334,5,13057,0.0122222222222222
334,5,13058,0.159722222222222
334,5,13239,7.59472222222222
334,5,13240,0.148888888888889
334,5,13243,0.085
334,5,13244,0.231111111111111
334,5,13424,1.58055555555556
334,5,13425,0.06
334,5,13429,1.14638888888889
334,5,13430,0.209444444444444
334,5,13609,8.25944444444444
334,5,13615,0.0994444444444444
334,6,12500,0.1275
334,6,12501,0.05
334,6,12686,0.141388888888889
334,6,13056,0.2375
334,6,13239,5.58277777777778
334,6,13241,0.284722222222222
334,6,13424,1.07666666666667
334,6,13425,0.269166666666667
334,6,13426,0.115833333333333
334,6,13609,11.4413888888889
334,6,13610,0.00444444444444444
334,6,13794,0.355277777777777
334,6,13979,0.110833333333333
334,6,14164,0.110555555555556
334,6,14349,0.00277777777777778
334,6,14533,0.434166666666667
334,7,12316,0.1325
334,7,12501,0.0430555555555556
334,7,12502,0.365833333333333
334,7,12687,0.291388888888889
334,7,13239,7.36888888888889
334,7,13424,0.737777777777778
334,7,13609,7.43055555555556
334,7,13794,0.239444444444444
334,7,13979,0.00972222222222222
334,8,13054,0.00611111111111111
334,8,13239,5.94472222222222
334,8,13424,0.711388888888889
334,8,13609,9.04138888888889
334,8,13794,0.29
334,8,13979,0.142777777777778
334,8,14164,0.0627777777777778
334,8,14533,0.566666666666667
334,9,12869,0.150277777777778
334,9,13054,0.150277777777778
334,9,13239,5.35277777777778
334,9,13424,1.46083333333333
334,9,13425,0.245
334,9,13609,9.44388888888889
334,10,12869,0.105555555555556
334,10,13054,0.128611111111111
334,10,13239,1.0175
334,10,13240,0.26
334,10,13424,0.578333333333334
334,10,13425,0.592222222222222
334,10,13609,9.44805555555555
334,10,13610,0.434444444444444
334,10,13794,0.150277777777778
334,10,13795,0.548611111111111
334,10,13979,0.149722222222222
334,10,13980,0.591111111111111
334,10,14164,0.284444444444444
334,10,14165,0.317222222222222
334,10,14166,0.218611111111111
334,10,14349,0.536944444444444
334,10,14350,0.508611111111111
334,10,14351,0.00333333333333333
334,10,14533,0.255555555555555
334,10,14534,0.459722222222223
334,10,14535,1.48777777777778
334,11,13609,7.57861111111111
334,11,13610,0.380277777777778
334,11,13794,0.206666666666667
334,11,13795,0.866111111111111
334,11,13979,0.207222222222222
334,11,13980,0.418333333333333
334,11,14164,0.146111111111111
334,11,14165,0.398055555555556
334,11,14349,0.349166666666667
334,11,14350,0.153611111111111
334,11,14533,0.330555555555556
334,11,14534,0.480555555555556
334,11,14718,0.406944444444444
334,11,14719,0.514444444444444
334,11,14903,0.752222222222222
334,11,14904,0.225555555555556
334,12,13609,8.52583333333333
334,12,13610,0.488333333333333
334,12,13794,0.209722222222222
334,12,13795,0.623888888888889
334,12,13979,0.21
334,12,13980,0.355
334,12,13981,0.0363888888888889
334,12,14164,0.133333333333333
334,12,14166,0.308333333333333
334,12,14349,0.0891666666666667
334,12,14351,0.358333333333333
334,12,14533,0.075
334,12,14534,0.0888888888888889
334,12,14536,0.356666666666667
334,12,14718,0.005
334,12,14719,0.130833333333333
334,12,14721,0.372222222222222
334,12,14904,0.155
334,12,14905,0.288333333333333
334,12,14906,0.137222222222222
334,12,15089,0.155
334,12,15090,0.5725
334,12,15274,0.161944444444444
334,12,15275,0.308333333333333
334,13,13424,0.0327777777777778
334,13,13609,8.99527777777778
334,13,13610,0.472222222222222
334,13,13794,0.0886111111111111
334,13,13795,0.651111111111111
334,13,13979,0.0883333333333333
334,13,13980,0.516388888888889
334,13,14164,0.0886111111111111
334,13,14165,0.513888888888889
334,13,14349,0.523888888888889
334,13,14350,0.1625
334,13,14534,1.03055555555556
334,13,14719,0.0947222222222222
334,14,13609,13.0988888888889
334,14,13610,1.92277777777778
334,14,13794,0.204444444444444
334,14,13795,1.03694444444444
334,14,13979,0.0908333333333333
334,14,13980,0.67
334,14,14164,0.131388888888889
334,14,14165,0.578888888888889
334,14,14349,0.794444444444445
334,14,14534,0.764444444444444
334,15,13239,0.366388888888889
334,15,13424,0.9525
334,15,13609,18.1986111111111
334,15,13794,0.140277777777778
334,15,13979,0.0341666666666667
334,16,13424,0.00388888888888889
334,16,13609,12.1547222222222
334,16,13794,0.539722222222222
334,16,13979,0.54
334,16,14164,0.591388888888889
334,17,14533,0.379444444444444
334,18,0,0
334,19,13609,10.6827777777778
334,19,13794,0.0975
334,19,13979,0.0977777777777778
334,19,14164,0.0975
334,19,14349,0.00638888888888889
334,19,14533,0.0802777777777778
334,20,13609,10.3241666666667
334,21,13239,2.64027777777778
334,21,13424,0.711388888888889
334,21,13609,11.3486111111111
334,21,13794,0.855
334,21,13979,0.476944444444445
334,21,14164,0.296111111111111
334,21,14349,0.116944444444444
334,21,14533,0.464166666666667
334,21,14718,0.538055555555556
334,21,14902,0.0427777777777778
334,22,13239,6.02277777777778
334,22,13424,1.99416666666667
334,22,13609,8.98333333333333
334,22,13794,0.168333333333333
334,22,13979,0.0877777777777778
334,22,14533,2.42166666666667
334,23,12500,0.0897222222222222
334,23,12685,0.0897222222222222
334,23,12869,0.118888888888889
334,23,12870,0.118333333333333
334,23,13054,0.120555555555556
334,23,13055,0.119444444444444
334,23,13239,7.66388888888889
334,23,13240,0.119166666666667
334,23,13424,1.095
334,23,13425,0.115
334,23,13609,8.5525
334,24,13239,0.485
334,24,13240,0.621111111111111
334,24,13424,1.42361111111111
334,24,13425,0.767222222222222
334,24,13609,14.4191666666667
334,25,13609,16.79
334,25,13610,0.152777777777778
334,25,13794,0.0477777777777778
334,25,13795,0.304722222222222
334,25,13796,0.0433333333333333
334,25,13979,0.0433333333333333
334,25,13980,0.284444444444444
334,25,14164,0.0944444444444444
334,25,14165,0.0586111111111111
334,25,14349,0.153055555555556
334,25,14533,1.20722222222222
334,25,14534,0.0125
334,26,13424,0.0469444444444444
334,26,13609,18.3786111111111
334,27,13424,0.0566666666666667
334,27,13609,8.26972222222222
334,27,13610,0.663333333333333
334,27,13794,0.255
334,27,13795,1.24111111111111
334,27,13980,1.15138888888889
334,28,12869,0.0275
334,28,13054,0.105555555555556
334,28,13239,0.105833333333333
334,28,13424,0.105555555555556
334,28,13609,16.2266666666667
334,28,13794,0.110277777777778
334,29,13609,10.81
334,29,13610,0.0466666666666667
334,29,13795,0.199722222222222
334,29,13796,0.0108333333333333
334,29,13980,0.00944444444444444
334,29,13981,0.201111111111111
334,29,14166,0.0433333333333333
334,29,14167,0.167222222222222
334,29,14352,0.1325
334,29,14353,0.1375
334,29,14354,0.0666666666666667
334,29,14355,0.0666666666666667
334,29,14356,0.0666666666666667
334,29,14357,0.0669444444444444
334,29,14358,0.0669444444444444
334,29,14359,0.0669444444444444
334,29,14360,0.0469444444444444
334,29,14538,0.0736111111111111
334,29,14539,0.0025
334,29,14545,0.0483333333333333
334,29,14546,0.106388888888889
334,29,14724,0.0758333333333333
334,29,14731,0.0338888888888889
334,29,14732,0.121388888888889
334,29,14909,0.0102777777777778
334,29,14910,0.0455555555555556
334,29,14911,0.0458333333333333
334,29,14912,0.0458333333333333
334,29,14913,0.0144444444444444
334,29,14917,0.0186111111111111
334,29,14918,0.136111111111111
334,29,15098,0.0311111111111111
334,29,15099,0.0458333333333333
334,29,15100,0.0458333333333333
334,29,15101,0.0430555555555556
334,29,15103,0.00388888888888889
334,29,15104,0.126388888888889
334,29,15105,0.123333333333333
334,29,15106,0.123333333333333
334,29,15112,0.407222222222222
334,29,15286,0.0025
334,29,15287,0.0458333333333333
334,29,15288,0.0458333333333333
334,29,15289,0.0458333333333333
334,29,15290,0.0258333333333333
334,29,15292,0.123611111111111
334,29,15293,0.124166666666667
334,29,15294,0.124166666666667
334,29,15295,0.124166666666667
334,29,15296,0.124444444444444
334,29,15297,0.245
334,29,15298,0.12
334,29,15475,0.0197222222222222
334,29,15476,0.05
334,29,15477,0.0502777777777778
334,29,15478,0.0322222222222222
334,29,15483,0.0258333333333333
334,29,15484,0.127777777777778
334,29,15663,0.0180555555555556
334,29,15664,0.05
334,29,15665,0.05
334,29,15666,0.0319444444444444
334,29,15669,0.0180555555555556
334,29,15670,0.121666666666667
334,29,15851,0.0183333333333333
334,29,15852,0.05
334,29,15853,0.05
334,29,15854,0.0313888888888889
334,29,15855,0.0344444444444444
334,29,15856,0.0438888888888889
334,29,16039,0.0186111111111111
334,29,16040,0.0502777777777778
334,29,16041,0.157222222222222
334,29,16226,0.0791666666666667
334,29,16227,0.127222222222222
334,29,16228,0.0163888888888889
334,29,16412,0.0786111111111111
334,29,16413,0.095
334,29,16414,0.0494444444444444
334,29,16597,0.0786111111111111
334,29,16599,0.0622222222222222
334,29,16600,0.0822222222222222
334,29,16782,0.0130555555555556
334,29,16783,0.0861111111111111
334,29,16784,0.218055555555556
334,29,16785,0.176111111111111
334,29,16968,0.116944444444444
334,30,13609,15.9380555555556
334,30,13610,0.111111111111111
334,30,13611,0.111111111111111
334,30,13612,0.00916666666666667
334,30,13794,0.327777777777777
334,30,13797,0.101388888888889
334,30,13798,0.111111111111111
334,30,13799,0.0866666666666667
334,30,13800,0.0822222222222222
334,30,13801,0.0102777777777778
334,30,13979,0.123055555555556
334,30,13986,0.0722222222222222
334,30,13987,0.0822222222222222
334,30,13988,0.0822222222222222
334,30,13989,0.0822222222222222
334,30,13990,0.522222222222222
334,30,13991,0.0277777777777778
334,30,14164,0.123333333333333
334,30,14176,0.0197222222222222
334,30,14177,0.0480555555555556
334,30,14178,0.0258333333333333
334,30,14349,0.0694444444444444
334,30,14363,0.0219444444444444
334,30,14364,0.0408333333333333
334,30,14365,0.0394444444444444
334,30,14366,0.025
334,30,14533,0.220277777777778
334,30,14551,0.0144444444444444
334,30,14552,0.112222222222222
334,30,14553,0.015
334,30,14738,0.141388888888889
334,30,14923,0.00138888888888889
334,30,14924,0.140277777777778
334,30,15109,0.0177777777777778
334,30,15110,0.131388888888889
334,30,15295,0.177777777777778
334,30,15480,0.178333333333333
334,30,15663,0.0961111111111111
334,30,15664,0.0830555555555555
334,30,15665,0.124444444444444
334,30,15847,0.04
334,30,15848,0.139722222222222
334,30,16032,0.18
334,30,16217,0.607777777777778
334,30,16397,0.0827777777777778
334,30,16398,0.276666666666667
334,30,16399,0.276111111111111
334,30,16400,0.276944444444444
334,30,16401,0.34
334,30,16402,0.304444444444444
334,31,13609,13.9480555555556
334,31,13610,0.0886111111111111
334,31,13794,0.28
334,31,13795,0.209444444444444
334,31,13796,0.0586111111111111
334,31,13979,0.0477777777777778
334,31,13981,0.0836111111111111
334,31,13982,0.0558333333333333
334,31,13983,0.0727777777777778
334,31,13984,0.00333333333333333
334,31,14164,0.0452777777777778
334,31,14165,0.0025
334,31,14169,0.1
334,31,14170,0.103333333333333
334,31,14171,0.103611111111111
334,31,14172,0.0611111111111111
334,31,14350,0.0480555555555556
334,31,14357,0.0422222222222222
334,31,14358,0.299166666666667
334,31,14359,0.181944444444444
334,31,14535,0.0477777777777778
334,31,14544,0.108055555555556
334,31,14545,0.123888888888889
334,31,14720,0.0291666666666667
334,31,14721,0.0186111111111111
334,31,14730,0.00305555555555556
334,31,14731,0.0452777777777778
334,31,14732,0.0152777777777778
334,31,14906,0.0480555555555556
334,31,14917,0.03
334,31,14918,0.0305555555555556
334,31,15091,0.0477777777777778
334,31,15103,0.0302777777777778
334,31,15104,0.0213888888888889
334,31,15276,0.0125
334,31,15277,0.035
334,31,15289,0.0472222222222222
334,31,15290,0.00416666666666667
334,31,15462,0.0480555555555556
334,31,15475,0.0858333333333333
334,31,15647,0.0444444444444444
334,31,15648,0.00333333333333333
334,31,15660,0.0997222222222222
334,31,15833,0.0233333333333333
334,31,15845,0.0469444444444444
334,31,15846,0.0525
334,31,16031,0.0997222222222222
334,31,16216,0.0994444444444444
334,31,16401,0.138888888888889
334,31,16402,0.391388888888889
334,31,16586,0.0025
334,31,16587,0.844166666666667
334,31,16771,0.0969444444444444
334,31,16956,0.122222222222222
334,31,17141,0.1225
334,31,17325,0.109444444444444
334,31,17326,0.0122222222222222
334,31,17510,0.122222222222222
334,31,17695,0.173611111111111
334,31,17880,0.188333333333333
334,31,18065,0.198888888888889
334,31,18249,0.288611111111111
334,31,18250,0.0511111111111111
334,31,18255,0.0188888888888889
334,31,18256,0.0641666666666667
334,31,18257,0.6625
334,31,18432,0.238333333333333
334,31,18433,0.790277777777778
334,31,18434,0.0111111111111111
334,31,18436,0.0105555555555556
334,31,18437,0.0638888888888889
334,31,18438,0.0641666666666667
334,31,18439,0.0641666666666667
334,31,18440,0.045
334,31,18441,0.0547222222222222
334,31,18442,0.213611111111111
334,31,18617,0.503611111111111
334,31,18618,0.510833333333333
334,31,18619,0.2975
334,31,18620,0.0641666666666667
334,31,18621,0.0530555555555556
334,31,18626,0.1
334,32,13609,12.8861111111111
334,32,13610,0.305555555555556
334,32,13611,0.234444444444444
334,32,13612,0.148611111111111
334,32,13794,0.1925
334,32,13796,0.0708333333333333
334,32,13797,0.156111111111111
334,32,13798,0.244444444444444
334,32,13799,0.113333333333333
334,32,13800,0.132222222222222
334,32,13801,0.0536111111111111
334,32,13979,0.193055555555556
334,32,13983,0.0113888888888889
334,32,13984,0.115555555555556
334,32,13985,0.100277777777778
334,32,13986,0.185277777777778
334,32,13987,0.159444444444444
334,32,13988,0.143888888888889
334,32,13989,0.04
334,32,14164,0.0222222222222222
334,32,14171,0.0180555555555556
334,32,14172,0.0983333333333333
334,32,14173,0.118888888888889
334,32,14174,0.249444444444444
334,32,14175,0.214166666666667
334,32,14360,0.0722222222222222
334,32,14361,0.0733333333333333
334,32,14362,0.025
334,32,14533,0.100555555555556
334,32,14547,0.0561111111111111
334,32,14548,0.0477777777777778
334,32,14718,0.100277777777778
334,32,14733,0.0341666666666667
334,32,14734,0.0697222222222222
334,32,14903,0.100277777777778
334,32,14919,0.0127777777777778
334,32,14920,0.0822222222222222
334,32,14921,0.00861111111111111
334,32,15088,0.0783333333333333
334,32,15106,0.0738888888888889
334,32,15107,0.0302777777777778
334,32,15273,0.00611111111111111
334,32,15274,0.0711111111111111
334,32,15292,0.0522222222222222
334,32,15293,0.0405555555555556
334,32,15459,0.0458333333333333
334,32,15460,0.0316666666666667
334,32,15478,0.0683333333333333
334,32,15645,0.0777777777777778
334,32,15663,0.0683333333333333
334,32,15830,0.00777777777777778
334,32,15831,0.0697222222222222
334,32,15848,0.0683333333333333
334,32,16016,0.0475
334,32,16017,0.03
334,32,16033,0.0686111111111111
334,32,16202,0.0922222222222222
334,32,16203,0.00138888888888889
334,32,16218,0.0683333333333333
334,32,16388,0.110555555555556
334,32,16403,0.0494444444444444
334,32,16404,0.0186111111111111
334,32,16573,0.0180555555555556
334,32,16574,0.0922222222222222
334,32,16589,0.0683333333333333
334,32,16759,0.0377777777777778
334,32,16760,0.0725
334,32,16774,0.0625
334,32,16945,0.0577777777777778
334,32,16946,0.0525
334,32,16959,0.0616666666666667
334,32,17131,0.0402777777777778
334,32,17132,0.0516666666666667
334,32,17144,0.0619444444444444
334,32,17317,0.0138888888888889
334,32,17318,0.0658333333333333
334,32,17319,0.0116666666666667
334,32,17329,0.0616666666666667
334,32,17504,0.0538888888888889
334,32,17505,0.0377777777777778
334,32,17514,0.0616666666666667
334,32,17690,0.0280555555555556
334,32,17691,0.0636111111111111
334,32,17699,0.0616666666666667
334,32,17876,0.00194444444444444
334,32,17877,0.0658333333333333
334,32,17878,0.0238888888888889
334,32,17884,0.0619444444444444
334,32,18063,0.0416666666666667
334,32,18064,0.0669444444444444
334,32,18065,0.0136111111111111
334,32,18069,0.0616666666666667
